pred_L,I,interval_width
0.039485656,0.32203922,0.0977582240713433
0.1402452,0.5955333,0.2330239952371192
0.060082637,0.40454903,0.1618836568737333
0.66233134,0.029737255,0.0811319832176189
0.6535978,0.06993333,0.0716577149584136
0.45781887,0.29806274,0.2292574299377079
0.037527613,0.11706667,0.1097847772610221
0.011303442,0.2767843,0.0359282250204297
0.08817233,0.080172546,0.1793047408631131
0.15423629,0.6243608,0.2718258161866643
0.060258083,0.6605804,0.1239023040586022
0.40804932,0.38550195,0.3093428865344801
0.65359426,0.1623294,0.0721354589224316
0.7599897,0.42245883,0.1031748441587521
0.12218253,0.011635294,0.2218469941029466
0.011330863,0.25299215,0.0330448523879901
0.009641496,0.24189019,0.0275649287276523
0.10717366,0.25727844,0.1728304154684218
0.089820385,0.43765882,0.1796645140176655
0.10694821,0.35063922,0.2080419565860211
0.025531493,0.18224706,0.0632271256877752
0.40293545,0.22463922,0.2945634938827601
0.02995562,0.06333725,0.0833889954570702
0.016794246,0.26969805,0.0527248955734439
0.13012458,0.40767452,0.1897344386828185
0.07269708,0.35522354,0.1625262855115193
0.3798635,0.3020196,0.1568751710164866
0.63979256,0.40576863,0.0659728607474237
0.05225618,0.27181175,0.1277737927630156
0.8151684,0.58537644,0.086224702074124
0.015580748,0.09633333,0.0509224731270038
0.18147153,0.24329412,0.1891970435243672
0.3649011,0.013011765,0.2096062917166272
0.38589787,0.31681567,0.1420461946622185
0.017007941,0.30433333,0.0479874468402095
0.27983627,0.10832157,0.2193197744633909
0.5199736,0.5575255,0.0840211721741637
0.16701359,0.65037256,0.2444512108455998
0.018989757,0.10330196,0.062592781651965
0.10573642,0.77347845,0.2190038954664387
0.041091744,0.18815294,0.091800685962261
0.06922429,0.36013332,0.1481259989177296
0.044689417,0.19761176,0.1168902929334486
0.1285951,0.49183923,0.2431600048667123
0.010916156,0.29891765,0.0385979869847607
0.06238019,0.38248235,0.1276667761726331
0.024990458,0.36346668,0.0844159488365923
0.12902477,0.5092,0.2060254265060147
0.08836522,0.69713336,0.1844260070650146
0.09930318,0.34026274,0.1465834036416555
0.7897488,0.52882355,0.088832181421848
0.6589711,0.26667452,0.0775517590197987
0.01140899,0.29312158,0.0336153458702118
0.61322355,0.52197254,0.0498225861483816
0.1371441,0.55748236,0.2338144644638706
0.8751403,0.6397529,0.0811849631915477
0.03405601,0.5309686,0.0801434782103597
0.13220663,0.43119606,0.2328035979876662
0.23379362,0.4268902,0.3094843506107154
0.012800779,0.25895295,0.0424164223368876
0.026564447,0.6412157,0.0746198694267974
0.12271036,0.74062353,0.2431778475417255
0.8318809,0.5391529,0.0911342492785869
